Tweets,tweet_id,BART_Summary,Pegasus_Summary,T5_Summary
the country is going through the darkest time the latest update is that the toll reached 46,668425,the country is going through the darkest time the latest update is that the toll reached 46.,The death toll from the devastating earthquake in Nepal has passed 100.,the country is going through the darkest time the latest update is 46.
its time to bring this masterpiece back to the timeline,214629,its time to bring this masterpiece back to the timeline.,It's been more than a century since the Mona Lisa was created.,it's time to bring this masterpiece back to the timeline. it's time to bring it back to the timeline.
best wishes to dr muhammad runs and other members of the interim govt,299438,best wishes to dr muhammad runs and other members of the interim govt.,.,best wishes to dr muhammad runs and other members of the interim govt. best wishes to dr muhammad runs
this is new bangladesh this is how a couple celebrated sheikh casings fall in front of the crowd do not believe indian propaganda about,426801,this is new bangladesh. this is how a couple celebrated sheikh casings fall in front of the crowd do not believe indian propaganda about.,This is one of the most unusual things you will see in Bangalore.,a couple celebrated sheikh casings fall in front of the crowd do not believe indian propaganda about indian propaganda.
name of water brand in the name of martyr mugshot,512130,name of water brand in the name of martyr mugshot.,.,name of water brand in the name of martyr mugshot in the name of mugshot.
that is how we achieved our freedom in 2024,809107,that is how we achieved our freedom in 2024.,"As the UK prepares to leave the European Union, BBC News takes a look back at some of the key moments in the country's history.",we achieved our freedom in 2024 in 2024. that is how we achieved our freedom in 2024.
who are you who am i razakar razakar who changed who who changed coordinator coordinator shamsunnahar hall du 16 september 2024 122 pm,559483,who are you who am i razakar razkar who changed who who who changed coordinator coordinator shamsunnahar hall du 16 september 2024 122 pm.,.,who are you who am i razakar razakar who changed who who who changed coordinator coordinator shamsunnahar hall
no matter their religion or identity be it muslims hindus christians buddhists indigenous people or the third gender community and i are dedicated to protecting everyone from harm,188845,no matter their religion or identity be it muslims hindus christians buddhists indigenous people or the third gender community and i are dedicated to protecting everyone from harm.,"As part of our series of letters from African journalists, filmmaker and columnist Farai Sevenzo looks at some of the stories that have inspired him over the",no matter their religion or identity be it muslims hindus christians buddhists indigenous people or the third gender community
students are standing guard to protect the different hindu temples those photos were taken at midnight do not trust propaganda and rumors we this generation are committed to ensuring the safety of all minorities in bangladesh,446541,students are standing guard to protect the different hindu temples those photos were taken at midnight do not trust propaganda and rumors we this generation are committed to ensuring the safety of all minorities.,All images are copyrighted.,students are standing guard to protect the different hindu temples those photos were taken at midnight do not trust propaganda and rumors we this generation are committed to
snigdho made the statement at an event organised by laksam traditional protection city at laksam municipality auditorium yesterday 28 september link in comments,145234,snigdho made the statement at an event organised by laksam traditional protection city.,The All Assam Students' Organisation (AASO) has said that the state government has failed to take any steps to protect the rights of students in the,snigdho made the statement at an event organised by laksam traditional protection city at laksam auditorium yesterday 28 sept
quota movement and the blueprint for regime change in bangladesh the blueprint for a regimechange was cooking in the background for the past five months the quotamovement2024 provided the perfect cover the plan was to create terror and chaos across the country through vandalism and arson attacks on people privatepublic properties and government establishments ie dhaka airport parliament and ganabhaban,499837,quota movement and the blueprint for regime change in bangladesh. The plan was to create terror and chaos across the country through vandalism and arson attacks.,"In the run-up to the general election, the opposition and its allies in parliament have been making a series of allegations against the government, accusing it",quota movement and the blueprint for regime change were cooking in the background for the past five months the quotamovement2024 provided the perfect
hundreds gather at shahbagh responding to students call for continuing protest,206570,hundreds gather at shahbagh responding to students call for continuing protest.,Hundreds of students have taken to the streets of Srinagar to protest against a rise in tuition fees.,hundreds gather at shahbagh responding to students call for continuing protest. students call for continuing protest.
the police are shooting from the roofs scary visuals,479417,the police are shooting from the roofs scary visuals.,Footage has emerged of a man being shot and killed by police in north-west London.,the police are shooting from the roofs scary visuals.
protesters gather in front of khilgaon eidgah jame masjid in dhaka demonstrators are currently stationed in front of the eidgah jame masjid in khilgaon dhaka continuing their protest,719498,Protesters are currently stationed in front of the eidgah jame masjid in khilgaon dhaka.,"Hundreds of people have taken to the streets of Bangladesh's capital, Dhaka, to protest against the government's decision to ban Jamaat-e",protesters are currently stationed in front of khilgaon eidgah jame masjid in
you can blackout the internet and take away our freedom to speak but what about allah he is watching everything how could you forget this you will be destroyed soon or later but you will,760439,you can blackout the internet and take away our freedom to speak but what about allah he is watching everything how could you forget this you will be destroyed soon or later but you will.,Allah is watching everything and he will be destroyed soon or later but what about allah he is watching everything and he will be destroyed soon or later,you can blackout the internet and take away our freedom to speak but what about allah he is watching everything how could you forget this you will be
investigation shows that the majority of deaths during the quota movement protests were caused by bullets aimed at critical parts of the body pointing to deliberate use of lethal force,458582,investigation shows that the majority of deaths during the quota movement protests were caused by bullets aimed at critical parts of the body.,An investigation by the BBC and the Guardian has found that police used excessive force against protesters during the quota movement in South Africa.,the majority of deaths during the quota movement protests were caused by bullets aimed at critical parts of the body pointing to deliberate use of
sumaiya a new mother was tragically killed by a stray bullet on her balcony shooted from helicopter the bullet pierced the balcony grill taking sumaiyas life instantly,654526,sumaiya a new mother was tragically killed by a stray bullet on her balcony shooted from helicopter the bullet pierced the balcony grill taking sumaiyas life instantly.,A young mother has been killed by a stray bullet while on holiday in the Maldives.,sumaiya a new mother was killed by a stray bullet on her balcony. the bullet pierced the balcony
students march in the rain in aftabnagar and uttara dhaka,305503,students march in the rain in aftabnagar and uttara dhaka.,.,students march in the rain in aftabnagar and uttara dhaka in aftabnagar
there is a massive media blackout with the critical situation in bangladesh while the rest of the world is distracted by the most ridiculous olympics in history there have been over 1700 students murdered in the streets already,605579,there is a massive media blackout with the critical situation in bangladesh while the rest of the world is distracted by the most ridiculous olympics in history. over 1700 students murdered in the streets already.,"As the world's biggest sporting event comes to a close, we take a look back at some of the most memorable moments from the past 100 years",there is a massive media blackout with the critical situation in bangladesh while the rest of the world is distracted by the most ridiculous o
they will kill us all rather than giving our rights we need help we need help we need help,114688,they will kill us all rather than giving our rights we need help we need Help.,British Prime Minister Theresa May has said she will not back down in her fight against the so-called Islamic State (IS) in Syria.,they will kill us all rather than giving our rights we need help we need help we need help we need help we need help we need help we need help
bangladesh 42 students have been killed by bangladesh police provost bel dictatorship in a democratic country cannot be tolerated having step down,292442,bangladesh 42 students have been killed by bangladesh police provost bel dictatorship in a democratic country cannot be tolerated.,The BBC's political editor Laura Kuenssberg explains why the BBC has stepped down from its coverage of the student protests.,bangladesh police provost bel dictatorship has killed 42 students in bangladesh. bangladesh cannot be tolerated
helicopter landed on the roof of brace university to rescue the ran elite force of bangladesh because these forces were trapped during the quota movement under the pressure of the people and students their rescue work was going on,628963,helicopter landed on the roof of brace university to rescue the ran elite force of bangladesh because these forces were trapped during the quota movement.,The elite force of bangladesh was trapped on the roof of brace university during the quota movement.,helicopter landed on the roof of brace university to rescue the ran elite force of bangladesh. these forces were trapped during the quot
former professor at dhakauniversity mahbubullah in an interview with prothom alos sohrab hassan and monoj dey speaks about the ongoing quotareformmovement and related issues,138092,Former professor at dhakauniversity mahbubullah in an interview with prothom alos sohrab hassan and monoj dey.,Bangladesh's government has announced plans to introduce a quota system for the country's higher education sector.,former professor at dhakauniversity mahbubullah speaks about the ongoing quotareformmovement and related issues.
curfew has been imposed army will be deployed in bangladesh,302771,curfew has been imposed army will be deployed in bangladesh.,.,curfew imposed army will be deployed in bangladesh. army will be deployed in bangladesh.
summoning bangladeshi students from spain,865318,summoning bangladeshi students from spain.,BBC News NI takes a look at some of the top stories from the past 24 hours.,bangladeshi students summon bangladeshi students from spain.
the worst remittance fighter in the history of bangladesh,861579,the worst remittance fighter in the history of bangladesh.,"In the second of our series of letters from African journalists, filmmaker and columnist Ahmedou Ould-Abdallah looks back at some of the most",worst remittance fighter in bangladesh history. worst remittance fighter in history of bangladesh.
official statement having resigned and ran away from the country source yamuna television,707276,official statement having resigned and ran away from the country source yamuna television.,Uganda's President Yoweri Museveni has accepted the resignation of Prime Minister Raila Odinga.,official statement has resigned and ran away from the country source yamuna tv source. official statement has resigned and
this screaming of my sisters uncle please open the door uncle please the howling to get help this bsl and facisthasina would not think twice to kill its own people,555008,this screaming of my sisters uncle please open the door uncle please the howling to get help this bsl and facisthasina would not think twice to kill its own people.,"This is my sister's voice, she is screaming, she is pleading with me to open the door, she is pleading with me to help her",this screaming of my sisters uncle please open the door uncle please the howling to get help this bsl and facisthasina would not
why are bangladeshi police people talking in hindi why why indian people in bangladesh,556864,why are bangladeshi police people talking in hindi why why indian people in bangladesh.,BBC News NI takes a look at some of the key stories from the past 24 hours in Northern Ireland.,why are bangladeshi police people talking in hindi why why why indian people in bangladesh indian people in banglades
quota reform movement unprecedented bangladeshpolice brutality by direct firing on students 1631 july 2024,462677,quota reform movement unprecedented bangladeshpolice brutality by direct firing on students 1631 july 2024.,.,quota reform movement unprecedented bangladeshpolice brutality by direct firing on students 1631 july 2024.
this war costed us so much as a nation thanks to all those voices who helped us reach every corner of the world and unveil the true colours of facisthasina now let us build a new and more refined democratic bangladesh,523391,this war costed us so much as a nation thanks to all those voices who helped us reach every corner of the world and unveil the true colours of facisthasina. Now let us build a new and more refined democratic bangl,"As we mark the 70th anniversary of the end of World War II, it is a good time to reflect on how far we have come as a",this war costed us so much as a nation thanks to all those voices who helped us reach every corner of the world and unveil the true colours
34th july2024 location new market chittagong were strong,972612,34th july2024 location new market chittagong were strong.,.,new market chittagong were strong. 34th july2024 location new market were strong.
finally we are free now and also now we are one thanks to all the international media who helped us to show the world the reality of facisthasina,753805,finally we are free now and also now we are one thanks to all the international media.,The BBC's political editor Laura Kuenssberg explains why the UK's vote to leave the European Union was so controversial.,we are free now and also now we are one thanks to all the international media who helped us to show the world the reality of facisthasina
it all ends with 1 one demand for whole nations no more facisthasina,201830,it all ends with 1 one demand for whole nations no more facisthasina.,The BBC takes a look at some of the key stories from this year's Eurovision Song Contest.,it all ends with 1 one demand for whole nations no more facisthasina. it all ends with 1 one demand for whole nations no more
shame on you you are spreading rumors the islamists are not wrong doers just stop lying supporters of facisthasina regime,417591,shame on you you are spreading rumors the islamists are not wrong doers just stop lying supporters of facisthasina regime.,.,shame on you you are spreading rumors the islamists are not wrong doers just stop lying supporters of facisthasina regime.
demonstration march in dhaka university demanding the hanging of sheikh having who ordered the murder with dead bodies on their shoulders,389685,demonstration march in dhaka university demanding the hanging of sheikh having who ordered the murder with dead bodies on their shoulders.,.,demonstration march in dhaka university demanding the hanging of sheikh having who ordered the murder with dead bodies on their shoulders. sheikh ordered the
facisthasina regime has initiated a propaganda campaign alleging that jamaat and the bnp are planning attacks on hindus this suggests that these actions may be orchestrated under a communication blackout,128968,facisthasina regime has initiated a propaganda campaign alleging that jamaat and the bnp are planning attacks on hindus. This suggests that these actions may be orchestrated under a communication blackout.,"The BBC's political editor, Richard Galpin, reports from the Libyan capital, Tripoli.",facisthasina regime has launched a propaganda campaign alleging that jamaat and the bnp are planning attacks on hindus
what type of political mistake did these children make sheikh having will you take the responsibility of their deaths or will your government take it,713433,what type of political mistake did these children make sheikh having will you take the responsibility of their deaths or will your government take it.,What do you make of the death of Sheikh Salman bin Ebrahim al-Khalifa?,what type of political mistake did these children make sheikh having will you take the responsibility of their deaths or will your government take it.
gen z of bangladesh is protesting against the fascist dictator having,698216,gen z of bangladesh is protesting against the fascist dictator of the country.,"Protests have taken place in the Polish capital, Warsaw, against the government of President Andrzej Duda.",gen z of bangladesh is protesting against the fascist dictator. gen z of bangladesh is protest
july massacre 2024 we will never forget video 37 hundreds of youths like him were killed during the protest,576659,july massacre 2024 we will never forget video 37 hundreds of youths like him were killed during the protest.,BBC Newsnight takes a look back at some of the most memorable moments from the 2016 Rio Olympics.,july massacre 2024 we will never forget video 37 hundreds of youths were killed during the protest.
attention sylhet there will be raid in sylhet tonight highlighted places are nayasharak zindabazar jailroad dargah gate uposhohor housing state stay alert,726087,attention sylhet there will be raid in sylchet tonight highlighted places are nayasharak zindabazar jailroad dargah gate uposhohor housing state stay alert.,Police in Kolkata are on high alert following a series of attacks in the city.,nayasharak zindabazar jailroad dargah gate uposhohor housing state stay alert.
the racist sheikh having off social media in bangladesh now in moment to run massacre over students,400829,the racist sheikh having off social media in bangladesh now in moment to run massacre over students.,The BBC's Mark Lowen reports from the scene of a gun attack at a school in Manchester.,the sheikh has off social media in bangladesh to run massacre over students in bangladesh. sheikh now in moment to run
now reform bangladesh inshaallah 36 july 2024,701170,now reform bangladesh inshaallah 36 july 2024.,BBC Sport takes a look back at some of the most memorable moments from this year's Six Nations.,reform bangladesh inshaallah inshaallah 36 july 2024. now reform bangladesh inshaallah
do not trust the army kids,408300,do not trust the army kids.,BBC News NI takes a look at some of the top stories from the past 24 hours.,do not trust the army kids. do not trust the army kids.
we will not rest until we see justice for julymassacar in bangladesh by dictator hasina,453314,we will not rest until we see justice for julymassacar in bangladesh by dictator hasina.,.,we will not rest until we see justice for julymassacar in bangladesh by dictator hasina in bangladesh
how mafia having and her gangs killed our brothers and sisters,118169,how mafia having and her gangs killed our brothers and sisters.,how mafia having and her gangs killed our brothers and sisters,mafia and her gangs killed our brothers and sisters. how mafia had killed our brothers and sisters.
ahm shamsuddin chowdhury manik has been arrested bgb arrested him tonight while fleeing to,224847,ahm shamsuddin chowdhury manik has been arrested bgb arrested him tonight while fleeing to.,Police have arrested a man who was wanted in connection with the murder of a police officer.,ahm shamsuddin chowdhury manik has been arrested by bgb. he
current situation of dhaka university hokey hall shame on bangladesh government,430319,current situation of dhaka university hokey hall shame on bangladesh government.,BBC News NI takes a look at some of the key stories from the past 24 hours in Northern Ireland.,current situation of dhaka university hokey hall shame on bangladesh government. current situation of dhaka university hokey hall
who are you to decide to pardon bad do you represent all of us bad has to pay the price for their atrocity killing in last 15 years including individually and as a party,232690,who are you to decide to pardon bad do you represent all of us bad has to pay the price for their atrocity killing.,What do you think about the DUP's decision to pardon the IRA and loyalist paramilitaries?,who are you to decide to pardon bad do you represent all of us bad has to pay the price for their atrocity killing in last 15 years
students stuck in the varsities go to calls chemistry labs and follow the instructions here,513579,students stuck in the varsities go to calls chemistry labs and follow the instructions here.,How do you solve a Rubik's Cube?,students stuck in the varsities go to calls chemistry labs and follow the instructions here.
i am stunned and completely speechless this is an attempt to portray an incident of the julymassacre in this picture,425556,i am stunned and completely speechless this is an attempt to portray an incident of the julymassacre in this picture.,.,i am stunned and completely speechless this is an attempt to portray an incident of the julymassacre in this picture.
no one can take away the freedom to speak i fully support them the truth can never be stopped by violence the truth never die pray for bangladesh,863390,no one can take away the freedom to speak i fully support them the truth can never be stopped by violence the truth never die pray for bangladesh.,All images are copyrighted.,no one can take away the freedom to speak i fully support them the truth can never be stopped by violence the truth never die pray for banglades
never knew i had to see this type of thread i do not know i feel so numb atp help us please help us facebookcomsharepobgwkt all eyes on bangladesh we need help,904557,never knew i had to see this type of thread i do not know i feel so numb atp help us please help us facebookcomsharepobgwkt all eyes on bangladesh we need help.,.,i do not know i had to see this type of thread i do not know i feel so numb atp help us please
chhatra league is destroying hospitals so students cannot receive medical help,334875,chhatra league is destroying hospitals so students cannot receive medical help.,Watch the shocking footage of a school in Peshawar being burnt down by a mob.,chhatra league is destroying hospitals so students cannot receive medical help.
place help us our country situation worst right now police attack students with tear cell bullets please spread this for international media,701130,place help us our country situation worst right now police attack students with tear cell bullets please spread this for international media.,.,place help us our country situation worst right now police attack students with tear cell bullets please spread this for international media.
18 july2024 time 5 56 pm total death count 40 martyrs we need your help all eyes on bangladesh,301775,18 july2024 time 5 56 pm total death count 40 martyrs we need your help all eyes on bangladesh.,BBC Newsnight takes a look at some of the key stories from the past 24 hours.,we need your help all eyes on bangladesh. we need your help all eyes on bangladesh.
support the student movement in bangladesh talent should come first not quotas or connections stop the violence and protect our future leaders,533738,support the student movement in bangladesh talent should come first not quotas or connections stop the violence and protect our future leaders.,All photographs  Getty Images,support the student movement should come first not quotas stop the violence and protect our future leaders.
students are dying all eyes on bangladesh,778054,students are dying all eyes on bangladesh.,BBC News NI takes a look at some of the top stories of the week.,bangladesh students are dying all eyes on bangladesh students.
fascist having govt must step down,233338,fascist having govt must step down.,.,fascist having govt must step down. fascist having govt must step down.
we have given blood we will give more injustice will be swept away by the flood of blood give us freedom or we will chew your freedom,532718,we have given blood we will give more injustice will be swept away by the flood of blood give us freedom or we will chew your freedom.,We have given blood we will give more injustice will be swept away by the flood of blood give us freedom or we chew your freedom,we have given blood we will give more injustice will be swept away by the flood of blood give us freedom or we will chew your freedom. we
dhaka university campus is still heated at night police has thrown teargas at the unarmed students,521399,dhaka university campus is still heated at night police has thrown teargas at the unarmed students.,Kenyan police have fired tear gas and rubber bullets to disperse hundreds of students who were protesting against the government's decision not to allow them to hold a,police throw teargas at unarmed students at dhaka university campus.
brutality at its peak when the bel is charging on girls who took shelter in a building,129295,brutality at its peak when the bel is charging on girls who took shelter in a building.,The BBC takes a look at some of the key stories from around the world this week.,brutality at its peak when the bel is charging on girls who took shelter in a building.
were receiving treatment from our friend here it is india they are not hesitating to offer water they do not even follow our arguments what a friend we have they have opened testa dumber dam to serve us,719664,were receiving treatment from our friend here it is india they are not hesitating to offer water they do not even follow our arguments what a friend we have they have opened testa dumber dam to serve us.,We have been complaining for a long time about the lack of water in our village and now we have a solution.,india they are not hesitating to offer water they do not even follow our arguments what a friend we have they have opened testa dumb
protest against dictator of bangladesh the worst of all sheikh having at sydney australia,986745,protest against dictator of bangladesh the worst of all sheikh having at sydney australia.,.,protest against dictator of bangladesh the worst of all sheikh having at sydney australia. protest against dictator of banglades
is this called an independent country where we do not have freedom of speech where is our freedom of speechshamee,213483,is this called an independent country where we do not have freedom of speech where is our freedom ofspeechshamee.,The BBC's political editor Laura Kuenssberg explains why the UK has no freedom of speech.,is this called an independent country where we do not have freedom of speech where is our freedom of speechshamee. is this called an independent
only one way open for us resistance only one way open for her resign,720684,only one way open for us to get her to resign. Only one way for her to get out of this mess.,All images are copyrighted.,only one way open for us resistance only one way open for us resistance only one way open for her resign.
the fascist govt of bangladesh is doing what they have always been good at dealing with any justified demand with violence even hospitals girls students are not safe from them,470254,the fascist govt of bangladesh is doing what they have always been good at dealing with any justified demand with violence even hospitals girls students are not safe from them.,The fascist government of bangladesh is doing what they have always been good at dealing with with justified demand for violence even hospitals girls students are not safe,the fascist govt of bangladesh is doing what they have always been good at dealing with any justified demand with violence even hospitals girls
how the dictator tries to stay in power and make people forget and silent that they are under the rule of a dictator dictatorsheikhhasina has been using this kind of tactics for a decade on bangladesh,235366,how the dictator tries to stay in power and make people forget and silent that they are under the rule of a dictator.,The BBC's Geeta Pandey looks at the tactics used by dictators to cling to power.,how the dictator tries to stay in power and make people forget and silent that they are under the rule of a dictator dictator dictatorsheikhhas
swami police league ran bob and swat team jointly conducted massacre over ordinary students of dhaka university also they brutally attacked thousands of journalists,244138,swami police league ran bob and swat team jointly conducted massacre over ordinary students of dhaka university also they brutally attacked thousands of journalists.,Police in Bangladesh have been accused of carrying out a wave of violence against journalists and peaceful protesters.,swami police league ran bob and swat team jointly conducted massacre over ordinary students of dhaka university. also they
where everyone give up students start from there,181393,where everyone give up students start from there.,BBC Sport takes a look at some of the key stories of the week.,where everyone give up students start from there. where everyone give up students start from there.
many police in front of dhaka high court today arresting students from rickshaws from the streets without any reason,437176,many police in front of dhaka high court today arresting students from rickshaws from the streets without any reason.,Hundreds of students protested in Dhaka against the arrest of their classmates by police.,many police in front of dhaka high court arrest students from rickshaws from the streets without any reason. students from rickshaw
the prime minister of bangladesh sheikh having is worst and dangerous than hitler,853776,the prime minister of bangladesh sheikh having is worst and dangerous than hitler.,BBC Newsnight takes a look back at some of the most memorable moments from the 2016 UK general election.,the prime minister of bangladesh sheikh has is worst and dangerous than hitler. the prime minister of bangladesh sheikh has
fascist sheikh having has never been able to provide peace and stability in bangladesh she is in power by standing on a pile of corpses step down fascist having,183338,fascist sheikh having has never been able to provide peace and stability in bangladesh. She is in power by standing on a pile of corpses step down.,Sheikh Muqtada al-Sadr has been in power for more than 30 years and has never been able to provide peace and stability in bang,fascist sheikh having has never been able to provide peace and stability in bangladesh she is in power by standing on a pile
neither we need swami league nor we need bop we need a new leader in our country,264780,neither we need swami league nor we need bop we need a new leader in our country.,We need a new leader in Zimbabwe we need a new government we need a new president we need a new parliament we need a new constitution we need a,neither we need swami league nor we need bop we need a new leader in our country we need a new leader in our country
the situation at dhaka university is very dire the police bgb and chhatra league are attacking the general students people of dhaka and the entire country please come forward to save dhaka university and protect your children,967104,the situation at dhaka university is very dire the police bgb and chhatra league are attacking the general students people of dhaka and the entire country. Please come forward to save dhakaUniversity and protect your children.,Students of dhaka university have gone on hunger strike to demand the resignation of the vice chancellor of dhaka university.,the situation at dhaka university is very dire the police bgb and chhatra league are attacking the general students people of
bloodthirsty fascist monster how much blood will quench her thirst step down fascist having,562194,bloodthirsty fascist monster how much blood will quench her thirst step down fascist having.,Watch the video above to see what happens when the fascists take over the UK.,bloodthirsty fascist monster how much blood will quench her thirst step down fascist. monster how much blood will que
badda is under attack indian raw are fully active in bangladeshmore than 100 people are spotted dead sheikh hasina is still playing tge dirty game of secularism,971148,badda is under attack indian raw are fully active in bangladeshmore than 100 people are spotted dead sheikh hasina is still playing tge dirty game of secularism,BBC Urdu's Zubair Ahmed reports from Pakistan.,badda under attack indian raw are fully active in bangladeshmore than 100 people are spotted dead sheikh hasina is still
at fast kill talented students then become a victim card what an irony using,950257,at fast kill talented students then become a victim card what an irony using the victim card.,"In the wake of the Manchester Arena attack, BBC News takes a look back at some of the key moments in the story.",fast kill talented students then become a victim card what an irony using an irony.
93 people have been killed by dictator having today at bangladesh,372349,93 people have been killed by dictator having today at bangladesh.,BBC News NI takes a look at some of the top stories from the past 24 hours.,93 people have been killed by dictator having today at bangladesh. dictator has killed 93 people in bangladesh.
hospitals are rejecting any treatments related to student attacks what a country we are living in,871411,hospitals are rejecting any treatments related to student attacks what a country we are living in.,"The death toll from last week's attacks in Paris has risen to 129, with more than 100 people injured.",hospitals are rejecting any treatments related to student attacks what a country we are living in. hospitals are rejecting any treatments related to student attacks
she is an unquantified person for this job the mass and chaos is all her fault she wants the power but do not know how to handle it,484480,she is an unquantified person for this job the mass and chaos is all her fault she wants the power but do not know how to handle it.,The BBC's political editor Laura Kuenssberg looks at the challenges facing Theresa May as she attempts to form a government.,she is an unquantified person for this job the mass and chaos is all her fault she wants the power but do not know how to handle it
history repeats this is the legacy of bangladesh people no dictator can ever stand in our motherland shame on you sheikh having,156653,history repeats this is the legacy of bangladesh people no dictator can ever stand in our motherland shame on you sheikh having.,"The former prime minister of bangladesh, Sheikh Hasina, has said that she will not stand for re-election.",history repeats this is the legacy of bangladesh people no dictator can ever stand in our motherland shame on you sheikh. history
source bad shaken college dhaka aerospace and astronomy club facebookcomsharehlxvgm9m,841946,source bad shaken college dhaka aerospace and astronomy club facebook.com.,BBC News NI takes a look at some of the key stories from the past 24 hours.,source bad shaken college dhaka aerospace and astronomy club facebookcomsharehlxvgm9m.
aisha begum was just one during the 1971 independence too young to grasp freedom in later years politics and liberty remained luxuries beyond her reach,644792,aisha begum was just one during the 1971 independence too young to grasp freedom in later years.,"As India marks the 40th anniversary of its independence from Britain, the BBC's Shilpa Kannan takes a look at some of the people who",aisha begum was just one during the 1971 independence too young to grasp freedom in later years politics and liberty remained luxuries
students are dying and they are celebrating killers,990750,students are dying and they are celebrating killers.,BBC News NI takes a look at some of the top stories from the past 24 hours.,students are dying and they are celebrating killers.
butcherofbangladesh yunus has woken up because his islamists zombies have attached christians now yunus is employed by christian masters he will not take it lightly not just yunus all cia bots across south asia are working for the same agenda all of them behave similarly,138173,butcherofbangladesh has woken up because his islamists zombies have attached christians now yunus is employed by christian masters he will not take it lightly. all cia bots across south asia are,yunus has woken up.,butcherofbangladesh yunus has woken up because his islamists zombies have attached christians.
immigration police of is doing a great job people who have committed crimes and had an influencing connection with fascist regime must be brought under justice,440300,immigration police of is doing a great job people who have committed crimes and had an influencing connection with fascist regime must be brought under justice.,It is a disgrace that the police are not doing enough to bring those who are involved in organised crime to justice.,immigration police of is doing a great job people who have committed crimes and had an influencing connection with fascist regime must be brought under justice
eternal memory to the martyrs who sacrificed their lives for our victory and the restoration of justice we proudly remember our martyrs,702109,eternal memory to the martyrs who sacrificed their lives for our victory and the restoration of justice we proudly remember our martyrs.,"On the eve of the 70th anniversary of the D-Day landings in France, the BBC News website pays tribute to those who lost their lives in",eternal memory to martyrs who sacrificed their lives for our victory and the restoration of justice we proudly remember our martyrs.
some images of bel attack on quota reform students protest,623340,some images of bel attack on quota reform students protest.,All images are copyrighted.,some images of bel attack on quota reform students protest. some images of bel attack on quota reform students protest.
july massacre 2024 we will never forget video 51 a random scene from dhanmondi where terrorist chhatro league were preparing to beat up the protestors,678050,july massacre 2024 we will never forget video 51 a random scene from dhanmondi where terrorist chhatro league were preparing to beat up the protestors.,BBC News takes a look back at some of the most memorable moments from the Rio Olympics.,we will never forget video 51 a random scene from dhanmondi where chhatro league were preparing to beat up the protest
this image should be hung in each advisors office right opposite to the wall of their chairs,919013,this image should be hung in each advisors office right opposite to the wall of their chairs.,All images are copyrighted.,image should be hung in each advisors office right opposite to the wall of their chairs. image should be hung in each advisors office right
the way fascist killer having ordered to kill a generation,231513,the way fascist killer having ordered to kill a generation.,BBC News NI takes a look at some of the key stories from the past 24 hours.,fascist killer ordered to kill a generation of fascists. killer ordered to kill a generation of fascists.
do you remember the terrible days of julyaugust this memory is forever remembering julyaugust massacre,414485,do you remember the terrible days of julyaugust this memory is forever remembering j July 4th massacre.,"On the 20th anniversary of the massacre at Sandy Hook Elementary School in Newtown, Connecticut, the BBC News website takes a look back at some of the",do you remember the terrible days of julyaugust this memory is forever remembering julyaugust massacre. do you remember the terrible
a huge protest march by infoshibir in chittagong demanding justice for the julymassacre on the occasion of national student solidarity week,666765,a huge protest march by infoshibir in chittagong demanding justice for the julymassacre on the occasion of national student solidarity week.,.,infoshibir march in chittagong demanding justice for the julymassacre on the occasion of national student solidarity week.
none of the 4 were arrested they may not even be in the country they were the mastermind of julyaugust massacre,714037,none of the 4 were arrested they may not even be in the country they were the mastermind of julyaugust massacre.,"Four people have been arrested in connection with the mass shooting at a gay nightclub in Orlando, Florida, which left 49 people dead.",none of the 4 were arrested they may not even be in the country they were the mastermind of julyaugust massacre. none of the
in a time when educators and administrators remain silent the youth rise as the voice of revolution,908251,in a time when educators and administrators remain silent the youth rise as the voice of revolution.,"In the wake of the shooting at Marjory Stoneman Douglas High School in Florida, students across the country are taking to the streets to protest gun violence.",in a time when educators and administrators remain silent the youth rise as the voice of revolution. in a time when educators and administrators remain silent the
graffiti as a testament of the student uprising,458257,graffiti as a testament of the student uprising.,.,graffiti as a testament of the student uprising as a testament of the student uprising.
the interim government has strong public support unlike sheikh casings rule sustained by proven election rigging and backed solely by india fascists cannot criticize a government born from revolution against fascism,217954,the interim government has strong public support unlike sheikh casings rule sustained by proven election rigging. fascists cannot criticize a government born from revolution against fascism.,Egypt's interim government has been in power since the overthrow of President Hosni Mubarak in February 2011.,interim government has strong public support unlike sheikh casings rule sustained by proven election rigging and backed solely by india fascists
if anyone has video footage or still images of the movement and revolution has been requested to send those to the email address pidjuly2024gmailcom with a brief description,162470,if anyone has video footage or still images of the movement and revolution has been requested to send those to the email address pidjuly2024gmailcom with a brief description.,All images are copyrighted.,if anyone has video footage or still images of the movement and revolution has been requested to send those to the email address pidjuly2024gmail
freedom earned by sacrifice and blood,278819,freedom earned by sacrifice and blood.,All images are copyrighted.,freedom earned by sacrifice and blood earned by sacrifice and blood. freedom earned by sacrifice earned by sacrifice and blood.
road to freedom 4th august 2024 1 day before victory fearless people fighting with whatever they have against swami armed terrorists,164350,road to freedom 4th august 2024 1 day before victory fearless people fighting with whatever they have against swami armed terrorists.,.,road to freedom 4th august 2024 1 day before victory fearless people fighting with whatever they have against swami armed terrorists.
